Reference Year,Local Government,Waste Resource Recovery Group WRRG,Garbage Annual Tonnes Collected,Recycling Annual Tonnes Collected,Recycling Annual Tonnes  Processed sorted,Organics Annual Tonnes Collected,Organics Annual Tonnes Processed,Total Annual Tonnes of Waste Collected,Total Annual Tonnes of Waste Processed Sorted
2005-2006,Greater Bendigo City Council,Loddon Mallee ,26504.0,7669.0,6899.0,0.0,0.0,34173.0,6899.0
2005-2006,Greater Dandenong City Council,Metropolitan ,25597.9004,9164.3604,8247.96,13491.7402,10426.4297,48254.001,18674.3897
2005-2006,Greater Geelong City Council,Barwon South West ,38254.0,25896.8105,23825.0703,28659.7695,28659.7695,92810.57999999999,52484.8398
2005-2006,Greater Shepparton City Council,Goulburn Valley ,19257.0,5747.0,5197.0,0.0,0.0,25004.0,5197.0
2005-2006,Hepburn Shire Council,Grampians Central West ,1680.0,1040.9,908.7,0.0,0.0,2720.9,908.7
2005-2006,Hindmarsh Shire Council,Grampians Central West ,1144.0,518.0,512.0,0.0,0.0,1662.0,512.0
2005-2006,Hobsons Bay City Council,Metropolitan ,15842.3398,9900.1396,8911.1797,5099.2002,5099.2002,30841.679600000003,14010.3799
2005-2006,Horsham Rural City Council,Grampians Central West ,5528.3599,1252.5,1026.5,0.0,0.0,6780.8599,1026.5
2005-2006,Hume City Council,Metropolitan ,32530.0,15784.0,12395.0,3422.0,3422.0,51736.0,15817.0
2005-2006,Indigo Shire Council,North East ,2845.0,1067.12,932.8,249.0,187.0,4161.12,1119.8
2005-2006,Kingston City Council,Metropolitan ,27638.0,16429.2402,15607.75,13075.0,12910.0,57142.2402,28517.75
2005-2006,Knox City Council,Metropolitan ,30516.0,13894.0,13581.0,15114.0,15114.0,59524.0,28695.0
2005-2006,Latrobe City Council,Gippsland ,12260.0,7760.3999,5957.8999,8788.0,8788.0,28808.3999,14745.8999
2005-2006,Loddon Shire Council,Loddon Mallee ,2278.0,0.0,0.0,0.0,0.0,2278.0,0.0
2005-2006,Macedon Ranges Shire Council,Loddon Mallee ,4893.0,4045.0,3640.5,0.0,0.0,8938.0,3640.5
2005-2006,Manningham City Council,Metropolitan ,22396.7695,11895.2002,10717.5703,12561.1504,12561.1504,46853.1201,23278.720699999998
2005-2006,Mansfield Shire Council,North East ,2300.24,1094.0,991.0,0.0,0.0,3394.24,991.0
2005-2006,Maribyrnong City Council,Metropolitan ,16800.0,6248.0,5181.2002,92.0,92.0,23140.0,5273.2002
2005-2006,Maroondah City Council,Metropolitan ,18585.7793,11649.96,11067.46,12687.6098,12687.6098,42923.34909999999,23755.069799999997
